,name,num,citations,numpapers
283,g borgioli,1986020164,12,1
284,andrea bulletti,2033499538,12,1
285,s valentini,2227230301,12,1
286,sergey ivashov,2080565558,12,1
287,andrey zhuravlev,2016305497,12,1
288,vladimir razevig,2029525818,12,1
289,igor vasiliev,2274147446,12,1
290,michele paradiso,2690976038,12,1
291,m inagaki,2501556526,12,1
292,c windsor,2443689563,12,1
293,t bechtel,1964055496,12,1
294,luigia nuzzo,2311959461,64,3
295,sergio negri,2475331732,59,3
296,vasiliki lysandrou,2467911471,39,3
297,kyoji doi,2633421815,7,1
298,kazunori takahashi,2258673350,7,1
299,hanumant singh,2246091788,45,1
300,jonathan adams,2479077230,45,1
301,david a mindell,2077970540,67,3
302,brendan foley,2098955788,45,1
303,christiana papoutsa,1988478294,36,1
304,george papadavid,2082864321,36,1
305,rosa maria cavalli,2305176804,84,4
306,francesca colosi,1865453616,46,1
307,angelo palombo,2113064632,72,3
308,stefano pignatti,2065385335,84,4
309,maurizio poscolieri,2694747168,46,1
310,raffaele persico,2095231049,37,2
311,ian barnes,2598286043,43,1
312,renato saleri,2020311921,12,1
313,marc pierrotdeseilligny,1984000208,12,1
314,emmanuel bardiere,2222739301,12,1
315,valeria cappellini,2306030603,12,1
316,nicolas nony,2151549409,12,1
317,livio de luca,2131431302,12,1
318,massimiliano campi,2154970795,12,1
319,ralf hesse,2696516467,24,1
320,rosa coluzzi,2305406398,66,3
321,david kennedy,2170009896,93,2
322,henrique lorenzo,2139025173,82,4
323,fernando i rial,1872054508,50,2
324,mercedes solla,2580057629,50,2
325,albane burenscarozza,294891508,12,1
326,pierre grussenmeyer,2091646378,12,1
327,s guillemin,2052679633,12,1
328,laurent carozza,2600847694,12,1
329,francois leveque,2569661268,12,1
330,vivien mathe,2599880734,12,1
331,javier fernandezlozano,2581557153,16,1
332,gabriel gutierrezalonso,2133618624,32,2
333,emily a hinz,2305162603,16,2
334,john f ferguson,2173513813,8,1
335,louise pellerin,2040670238,8,1
336,ann f ramenofsky,2336383998,8,1
337,helen king,2487829615,10,1
338,nigel king,2325300397,10,1
339,syed ali aqdus,1972711476,38,3
340,w s hanson,2161810323,49,5
341,jane drummond,2132260494,38,3
342,aihui jiang,2272031919,13,2
343,luigi capozzoli,2154570752,19,2
344,gerardo romano,2140959287,19,2
345,maria sileo,1962934975,25,3
346,panpan tang,2164229351,23,3
347,panpan chen,2255883579,19,2
348,guolin liu,2603510863,9,1
349,lei luo,2687459879,19,1
350,xinyuan wang,2306823122,19,1
351,huadong guo,2115863081,19,1
352,chuansheng liu,2646100689,19,1
353,jie liu,2671113638,19,1
354,li li,2647415036,19,1
355,xiaocui du,2169115916,19,1
356,guoquan qian,2648413183,19,1
357,s crutchley,2462802763,28,1
358,carlo piga,2424344075,3,1
359,luca piroddi,2041519449,3,1
360,elisa pompianu,2343241902,3,1
361,gaetano ranieri,2634218520,3,1
362,stefano stocco,2659739095,3,1
363,antonio trogu,2096830771,3,1
364,mark d mccoy,1993885308,39,1
365,gregory p asner,1998136094,39,1
366,michael w graves,2297741447,39,1
367,p fallavollita,2666131524,9,1
368,m balsi,2752689776,9,1
369,s esposito,2751222217,9,1
370,m g melis,2650881237,9,1
371,m milanese,2676963956,9,1
372,luca zappino,376715825,9,1
373,juan carlos fernandezdiaz,2132520524,38,2
374,ramesh l shrestha,2101017188,32,1
375,craig l glennie,1991356509,32,1
376,takayuki okochi,2054293707,27,1
