source,target
2004638404,2023573580
2004638404,2037542203
2004638404,2471613662
2004638404,2128940261
2004638404,2247189989
2042474989,2083281122
2042474989,1504183433
2042474989,2091460873
2042474989,2202777762
2042474989,2278448846
2042474989,1798489336
2042474989,1545072659
2042474989,2033472262
2042474989,1997575625
2042474989,2073858706
2091294729,2164345547
2091294729,1513488900
2091294729,2052351095
2091294729,2016685829
2091294729,2082358101
2091294729,2043153484
1996922388,2202777762
1996922388,2007351065
2080058192,1504183433
2080058192,1623899554
2080058192,175056903
2296421709,1991238184
2296421709,1555700134
2296421709,2073163184
2296421709,1254409997
2296421709,2116714053
1971492509,2095105537
1971492509,2082358101
1971492509,1973049152
2086349579,2164345547
2086349579,2202777762
2086349579,2083197550
2086349579,2018297962
2086349579,2083511573
2086349579,2043310452
2086349579,2073691881
2086349579,2030715167
2086349579,2326820390
2086349579,2119181641
1530993534,2064675821
2089919337,1998327661
2089919337,2291076239
2089919337,2048128407
2089919337,1496823833
2071719485,1504183433
2071719485,2043002852
2071719485,2058105619
2071719485,1996922388
2071719485,1990868684
2071719485,1972427274
2071719485,1993243599
2071719485,1530780495
2071719485,2005426878
2071719485,2132441697
2071719485,2069152987
1991238184,2078123721
1991238184,2085760485
2083197550,1916920390
2083197550,2299529876
2083197550,2078123721
2083197550,2047523721
1555700134,2101953912
1555700134,2071719485
1555700134,1254409997
1555700134,86252855
2587918125,1998327661
2587918125,2142566733
2587918125,2291076239
2587918125,2129493656
2587918125,2048128407
2510951086,2010502171
2510951086,2142566733
2510951086,2046416906
2510951086,2127229172
2057414382,2083281122
2057414382,2074471048
2057414382,2278448846
2057414382,2042474989
2057414382,2012938189
2057414382,2017167989
2057414382,2008235313
201224041,2018297962
201224041,1916920390
201224041,2320121120
201224041,1978606873
1834220646,1496823833
1913732766,2313038701
1913732766,2328769150
2064106118,1978845392
2064106118,1623899554
2064106118,1481905924
2064106118,2086871164
2064106118,2083511573
2064106118,1990453689
2064106118,1940182112
2064106118,2023360712
2064106118,1972313293
2064106118,2094008368
2064106118,2045381284
2064106118,2209635738
2064106118,2080276144
2064106118,1565635388
2064106118,391919516
2064106118,2029878653
2018297962,1916920390
2018297962,2320121120
2501556412,1530993534
1545072659,2083281122
1545072659,2091460873
1545072659,2202777762
1545072659,2278448846
