source,target,mag
2151859425.0,2077736714.0,2.0
2151859425.0,1834339306.0,2.0
2151859425.0,2127616844.0,2.0
2151859425.0,2550453853.0,2.0
1988930059.0,2652057278.0,1.0
229551928.0,2652057278.0,1.0
2151859425.0,2652057278.0,2.0
1988930059.0,2692190370.0,2.0
1988930059.0,2709006732.0,2.0
1988930059.0,2702723102.0,2.0
1988930059.0,2697450189.0,1.0
229551928.0,2692190370.0,2.0
229551928.0,2709006732.0,2.0
229551928.0,2702723102.0,2.0
229551928.0,2697450189.0,1.0
2151859425.0,2692190370.0,4.0
2151859425.0,2709006732.0,4.0
2151859425.0,2702723102.0,4.0
2151859425.0,2697450189.0,2.0
1430897697.0,2170009896.0,1.0
1430897697.0,2141896634.0,1.0
1430897697.0,2109518512.0,1.0
1430897697.0,2122419906.0,1.0
1430897697.0,1123723900.0,1.0
1430897697.0,2650095023.0,1.0
2122728365.0,233151887.0,13.0
2122728365.0,146908812.0,11.0
146908812.0,233151887.0,59.0
146908812.0,146908812.0,58.0
2615125436.0,233151887.0,7.0
2615125436.0,146908812.0,7.0
2078479346.0,233151887.0,2.0
2078479346.0,146908812.0,2.0
2505691432.0,233151887.0,2.0
2505691432.0,146908812.0,2.0
233151887.0,233151887.0,67.0
233151887.0,146908812.0,65.0
2122728365.0,2051837759.0,5.0
2122728365.0,1977200140.0,3.0
2122728365.0,2577607131.0,2.0
2122728365.0,1269756282.0,2.0
2122728365.0,2094403090.0,3.0
146908812.0,2051837759.0,6.0
146908812.0,1977200140.0,4.0
146908812.0,2577607131.0,3.0
146908812.0,1269756282.0,3.0
146908812.0,2094403090.0,4.0
2615125436.0,2051837759.0,3.0
2615125436.0,1977200140.0,2.0
2615125436.0,2577607131.0,1.0
2615125436.0,1269756282.0,1.0
2615125436.0,2094403090.0,2.0
2078479346.0,2051837759.0,2.0
2078479346.0,1977200140.0,2.0
2078479346.0,2577607131.0,1.0
2078479346.0,1269756282.0,1.0
2078479346.0,2094403090.0,2.0
2505691432.0,2051837759.0,2.0
2505691432.0,1977200140.0,2.0
2505691432.0,2577607131.0,1.0
2505691432.0,1269756282.0,1.0
2505691432.0,2094403090.0,2.0
233151887.0,2051837759.0,8.0
233151887.0,1977200140.0,4.0
233151887.0,2577607131.0,3.0
233151887.0,1269756282.0,3.0
233151887.0,2094403090.0,4.0
2122728365.0,2039670884.0,1.0
2122728365.0,2134806551.0,1.0
2122728365.0,2127224109.0,1.0
146908812.0,2039670884.0,1.0
146908812.0,2134806551.0,1.0
146908812.0,2127224109.0,1.0
2615125436.0,2039670884.0,1.0
2615125436.0,2134806551.0,1.0
2615125436.0,2127224109.0,1.0
2078479346.0,2039670884.0,1.0
2078479346.0,2134806551.0,1.0
2078479346.0,2127224109.0,1.0
2505691432.0,2039670884.0,1.0
2505691432.0,2134806551.0,1.0
2505691432.0,2127224109.0,1.0
233151887.0,2039670884.0,1.0
233151887.0,2134806551.0,1.0
233151887.0,2127224109.0,1.0
2122728365.0,1978271887.0,1.0
2615125436.0,1978271887.0,1.0
2078479346.0,1978271887.0,1.0
2505691432.0,1978271887.0,1.0
2122728365.0,2039579559.0,6.0
2122728365.0,2095415012.0,3.0
2122728365.0,2081226198.0,3.0
2122728365.0,705882724.0,6.0
2122728365.0,2807365348.0,3.0
146908812.0,2039579559.0,6.0
146908812.0,2095415012.0,3.0
146908812.0,2081226198.0,3.0
146908812.0,705882724.0,6.0
146908812.0,2807365348.0,3.0
2615125436.0,2039579559.0,4.0
2615125436.0,2095415012.0,2.0
2615125436.0,2081226198.0,2.0
2615125436.0,705882724.0,4.0
2615125436.0,2807365348.0,2.0
2078479346.0,2039579559.0,2.0
2078479346.0,2095415012.0,1.0
2078479346.0,2081226198.0,1.0
2078479346.0,705882724.0,2.0
2078479346.0,2807365348.0,1.0
2505691432.0,2039579559.0,2.0
2505691432.0,2095415012.0,1.0
2505691432.0,2081226198.0,1.0
2505691432.0,705882724.0,2.0
2505691432.0,2807365348.0,1.0
233151887.0,2039579559.0,10.0
233151887.0,2095415012.0,5.0
233151887.0,2081226198.0,5.0
233151887.0,705882724.0,10.0
233151887.0,2807365348.0,5.0
2122728365.0,2102797581.0,3.0
2122728365.0,1993120014.0,2.0
2122728365.0,1987843543.0,2.0
146908812.0,2102797581.0,9.0
146908812.0,1993120014.0,7.0
146908812.0,1987843543.0,8.0
2615125436.0,2102797581.0,3.0
2615125436.0,1993120014.0,2.0
2615125436.0,1987843543.0,2.0
2078479346.0,2102797581.0,1.0
2078479346.0,1993120014.0,1.0
2078479346.0,1987843543.0,1.0
2505691432.0,2102797581.0,1.0
2505691432.0,1993120014.0,1.0
2505691432.0,1987843543.0,1.0
233151887.0,2102797581.0,11.0
233151887.0,1993120014.0,8.0
233151887.0,1987843543.0,9.0
2122728365.0,2143835462.0,8.0
2122728365.0,2009218270.0,8.0
2122728365.0,1930818359.0,2.0
2122728365.0,2293820698.0,2.0
146908812.0,2143835462.0,8.0
146908812.0,2009218270.0,8.0
146908812.0,1930818359.0,2.0
146908812.0,2293820698.0,2.0
2615125436.0,2143835462.0,4.0
2615125436.0,2009218270.0,4.0
2615125436.0,1930818359.0,1.0
2615125436.0,2293820698.0,1.0
2078479346.0,2143835462.0,4.0
2078479346.0,2009218270.0,4.0
2078479346.0,1930818359.0,1.0
2078479346.0,2293820698.0,1.0
2505691432.0,2143835462.0,4.0
2505691432.0,2009218270.0,4.0
2505691432.0,1930818359.0,1.0
2505691432.0,2293820698.0,1.0
233151887.0,2143835462.0,12.0
233151887.0,2009218270.0,12.0
233151887.0,1930818359.0,3.0
233151887.0,2293820698.0,3.0
2122728365.0,2304410050.0,2.0
2122728365.0,2495836570.0,2.0
146908812.0,2304410050.0,2.0
146908812.0,2495836570.0,2.0
2615125436.0,2304410050.0,1.0
2615125436.0,2495836570.0,1.0
2078479346.0,2304410050.0,1.0
2078479346.0,2495836570.0,1.0
2505691432.0,2304410050.0,1.0
2505691432.0,2495836570.0,1.0
233151887.0,2304410050.0,3.0
233151887.0,2495836570.0,3.0
2122728365.0,2309836674.0,2.0
2122728365.0,2151248842.0,2.0
2122728365.0,2579247553.0,2.0
2122728365.0,2166885453.0,2.0
2122728365.0,2556217711.0,2.0
146908812.0,2309836674.0,5.0
146908812.0,2151248842.0,2.0
146908812.0,2579247553.0,5.0
146908812.0,2166885453.0,2.0
146908812.0,2556217711.0,2.0
2615125436.0,2309836674.0,1.0
2615125436.0,2151248842.0,1.0
2615125436.0,2579247553.0,1.0
2615125436.0,2166885453.0,1.0
2615125436.0,2556217711.0,1.0
2078479346.0,2309836674.0,1.0
2078479346.0,2151248842.0,1.0
2078479346.0,2579247553.0,1.0
2078479346.0,2166885453.0,1.0
2078479346.0,2556217711.0,1.0
2505691432.0,2309836674.0,1.0
2505691432.0,2151248842.0,1.0
2505691432.0,2579247553.0,1.0
2505691432.0,2166885453.0,1.0
2505691432.0,2556217711.0,1.0
233151887.0,2309836674.0,5.0
233151887.0,2151248842.0,2.0
233151887.0,2579247553.0,5.0
233151887.0,2166885453.0,2.0
233151887.0,2556217711.0,2.0
2122728365.0,2160686087.0,1.0
146908812.0,2160686087.0,1.0
2615125436.0,2160686087.0,1.0
2078479346.0,2160686087.0,1.0
2505691432.0,2160686087.0,1.0
233151887.0,2160686087.0,2.0
2122728365.0,2305176804.0,3.0
2122728365.0,1979140108.0,3.0
2122728365.0,2065385335.0,3.0
146908812.0,2305176804.0,3.0
146908812.0,1979140108.0,2.0
146908812.0,2065385335.0,3.0
2615125436.0,2305176804.0,2.0
2615125436.0,1979140108.0,2.0
2615125436.0,2065385335.0,2.0
2078479346.0,2305176804.0,1.0
2078479346.0,1979140108.0,1.0
2078479346.0,2065385335.0,1.0
2505691432.0,2305176804.0,1.0
2505691432.0,1979140108.0,1.0
2505691432.0,2065385335.0,1.0
233151887.0,2305176804.0,4.0
233151887.0,1979140108.0,3.0
233151887.0,2065385335.0,4.0
2051837759.0,2051837759.0,11.0
2051837759.0,1139602135.0,6.0
1977200140.0,2051837759.0,2.0
1977200140.0,1139602135.0,1.0
2577607131.0,2051837759.0,1.0
2577607131.0,1139602135.0,1.0
1269756282.0,2051837759.0,1.0
1269756282.0,1139602135.0,1.0
2094403090.0,2051837759.0,2.0
2094403090.0,1139602135.0,1.0
2087314693.0,2087314693.0,1.0
2087314693.0,1914535798.0,1.0
2087314693.0,2105245141.0,1.0
1914535798.0,2087314693.0,1.0
1914535798.0,1914535798.0,1.0
1914535798.0,2105245141.0,1.0
2105245141.0,2087314693.0,1.0
2105245141.0,1914535798.0,1.0
2105245141.0,2105245141.0,1.0
2310846884.0,2087314693.0,1.0
2310846884.0,1914535798.0,1.0
2310846884.0,2105245141.0,1.0
2123181868.0,2169669433.0,3.0
2289213271.0,2169669433.0,3.0
2468020076.0,2169669433.0,3.0
2310706129.0,2169669433.0,3.0
2123181868.0,2652057278.0,1.0
2289213271.0,2652057278.0,1.0
2468020076.0,2652057278.0,1.0
2310706129.0,2652057278.0,1.0
2123181868.0,2692190370.0,1.0
2123181868.0,2709006732.0,1.0
2123181868.0,2702723102.0,1.0
2289213271.0,2692190370.0,1.0
2289213271.0,2709006732.0,1.0
2289213271.0,2702723102.0,1.0
2468020076.0,2692190370.0,1.0
2468020076.0,2709006732.0,1.0
2468020076.0,2702723102.0,1.0
2310706129.0,2692190370.0,1.0
2310706129.0,2709006732.0,1.0
2310706129.0,2702723102.0,1.0
2123181868.0,1988930059.0,1.0
2123181868.0,229551928.0,1.0
2123181868.0,2151859425.0,1.0
2289213271.0,1988930059.0,1.0
2289213271.0,229551928.0,1.0
2289213271.0,2151859425.0,1.0
2468020076.0,1988930059.0,1.0
2468020076.0,229551928.0,1.0
2468020076.0,2151859425.0,1.0
2310706129.0,1988930059.0,1.0
2310706129.0,229551928.0,1.0
2310706129.0,2151859425.0,1.0
2123181868.0,2462802763.0,1.0
2289213271.0,2462802763.0,1.0
2468020076.0,2462802763.0,1.0
2310706129.0,2462802763.0,1.0
2122728365.0,2122728365.0,4.0
2122728365.0,2615125436.0,3.0
2122728365.0,2078479346.0,2.0
2122728365.0,2505691432.0,2.0
233151887.0,2122728365.0,8.0
233151887.0,2615125436.0,5.0
233151887.0,2078479346.0,3.0
233151887.0,2505691432.0,3.0
146908812.0,2122728365.0,6.0
146908812.0,2615125436.0,4.0
146908812.0,2078479346.0,2.0
146908812.0,2505691432.0,2.0
2122728365.0,1139602135.0,2.0
